Timestamp,   ¿En qué rango de edad te encuentras?  ,   ¿Cuál es tu área de estudio?  ,"  ¿Cuántas horas al día utilizas herramientas de IA (ChatGPT, Copilot, etc.)?  ",¿Con qué frecuencia utilizas herramientas de IA?,  ¿Cuál es el principal uso que le das a la IA?  ,  Siento que las herramientas de IA me brindan soporte emocional.  ,  A veces prefiero interactuar con una IA en lugar de hablar con otras personas.  ,  Me siento incómodo(a) cuando no puedo usar herramientas de IA  ,  Utilizo la IA para tomar decisiones personales.  ,  Siento que la IA “me entiende”.  ,"  En algunas situaciones, confío más en la IA que en otras personas.  ",¿Con qué frecuencia interactúas socialmente en persona?  ,"Cuando tienes un problema, ¿a quién recurres primero?  ",¿Has utilizado IA para apoyo emocional?  ,¿Prefieres el consejo de una IA sobre el de una persona en algunas situaciones?  
4/15/2026 13:13:12,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,2,4,4,4,2,3,Rara vez,"Personas (amigos, familia)",Sí,Sí
4/15/2026 13:32:00,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,1,2,1,1,3,Muy frecuentemente,Ambos por igual,No,Sí
4/15/2026 13:34:36,18-21,Otro,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,5,5,1,3,3,3,Muy frecuentemente,Ambos por igual,Sí,No
4/15/2026 13:38:27,22-24,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Entretenimiento,1,1,1,3,1,2,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 13:38:53,18-21,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,2,1,2,1,1,3,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 13:40:27,18-21,Ingeniería / STEM,1–2 horas,Algunas veces a la semana,Estudio / tareas académicas,3,4,1,4,3,4,Ocasionalmente,Ambos por igual,No,No
4/15/2026 13:48:25,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,4,2,1,2,2,3,Frecuentemente,"Personas (amigos, familia)",Sí,Sí
4/15/2026 13:52:39,18-21,Ingeniería / STEM,2–4 horas,Algunas veces a la semana,Estudio / tareas académicas,3,1,2,1,1,1,Frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 13:54:45,22-24,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 14:04:53,18-21,Ingeniería / STEM,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 14:10:40,18-21,Ingeniería / STEM,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,2,1,3,2,1,1,Frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 14:32:16,18-21,Ingeniería / STEM,Menos de 1 hora,Una vez al día,Entretenimiento,3,3,4,2,2,4,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 14:38:47,18-21,Ingeniería / STEM,1–2 horas,Algunas veces a la semana,Estudio / tareas académicas,2,1,1,1,1,1,Ocasionalmente,"Personas (amigos, familia)",Sí,No
4/15/2026 14:42:00,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,4,2,3,5,4,4,Muy frecuentemente,Ambos por igual,Sí,Sí
4/15/2026 14:48:52,Menos de 18,Otro,Más de 4 horas,Varias veces al día,Apoyo emocional / personal,5,5,5,5,5,5,Rara vez,IA,Sí,Sí
4/15/2026 14:51:35,18-21,Ingeniería / STEM,Menos de 1 hora,Rara vez,Trabajo,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 15:02:25,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,3,2,3,1,2,2,Muy frecuentemente,"Personas (amigos, familia)",Sí,Sí
4/15/2026 15:13:20,18-21,Otro,1–2 horas,Varias veces al día,Estudio / tareas académicas,2,3,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 15:32:25,18-21,Ciencias Sociales / Humanidades,Menos de 1 hora,Rara vez,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
